Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Data type,ODD,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Haiti,HTI,,,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,7900
Haiti,HTI,,,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.068329347,0.026301946,0.056275997,,0.527704485,0.45561707,0.354517491,,,0.110759921,,0.002076541,,,0.009835605,0.088907548,0.000855234,0.118384892,0.108639716,0.003428015,0.002674953,0.001309072,0.001309072,0.001309072,0.001309072,0.001309072,0.001309072,0.001309072,0.049910198,0.010801836,,,0.001089794,,,,,0.001655677,0.566892852,0.492640176,0.058202317,0.02425765,0.00947843,0.006921059,0.006917065,0.03911252,0.001997161,0.054608262,0.001406267,0.095545751,0.010277962,0.015247953,0.0357101,0.079693506,0.587289229,0.163741992,0.639550255,0.116759044,0.097857352,0.265580417,
Haiti,HTI,,,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,48.77121127,39.41404966,46.61021395,40.5081281,38.37465354,33.76495939,38.70683414,49.06620491,40.60138422,46.27443574,39.72329033,50.91074239,26.2565212,28.71404574,27.53760928,33.70720241,28.63336039,67.53085042,94.14342574,103.1530439,100,87.64403122,89.56349377,108.6770616,116.8643213,135.0161957,143.2251597,142.6180589,126.6976678,138.3606056,140.0080847,181.6088899,175.0177018,200.7483864,211.415258,206.4674569,239.6427129,227.7045468,245.7709448,278.2413204,
Haiti,HTI,,,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,0.05143636,0.03056515,,,0.280112045,0.167594745,0.125323753,0.116463737,0.063120918,0.071371014,0.437891147,0.618448103,0.487648282,0.412528246,0.42771522,0.292500705,0.536552649,1.658037089,2.026737822,2.057589949,2.425493813,1.197953507,,0.264522641,0.08474231,0.270513293,1.197953507,2.085134656,1.197953507,1.197953507,2.069708198,2.69796223,6.620698647,6.34715416,6.385745413,2.494158627,4.918906191,3.599471633,3.834825259,2.442170858,2.364195728,2.197262016,3.803616305,5.814486326,9.39352619,8.732744636,10.69578345,14.10571962,16.97134278,17.59247199,18.21286192,24.23014196,23.3824558,23.84802107,26.02538448,29.3344299,31.07627399,28.75686297,30.0415701,30.4157738,
Haiti,HTI,,,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,3.73,,,,,3.73,3.73,3.66,7.19,5.25,3.66,5.36,5.36,5.36,5.54,,,,
Haiti,HTI,,,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,2.53,,,,,2.52,2.52,2.48,4.82,4.48,2.48,4.55,4.55,4.55,4.56,,,,
Haiti,HTI,,,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370000,400000,387000,393000,386000,445000,499000,482000,518000,385000,480000,558000,868000,758000,826000,793000,946000,959000,1064000,1127599.976,1190000,1153000,1262000,1333000,938000,
Haiti,HTI,,,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.92184445,50.90604766,50.8951224,50.8878154,50.88254563,50.87821874,50.87419164,50.87078488,50.86878364,50.86930569,50.87297757,50.87988144,50.88900208,50.89885893,50.90686747,50.91191209,50.91317055,50.91134877,50.90725053,50.90188068,50.89601155,50.88993996,50.8834269,50.8765178,50.8689706,50.86097731,50.85242239,50.84348355,50.83455382,50.82630508,50.81897124,50.81268507,50.8073034,50.8023259,50.79738838,50.79203859,50.78628815,50.78017279,50.77374283,50.7671771,50.76048565,50.75384403,50.74708584,50.74000226,50.73231347,50.72382173,50.71463396,50.70499875,50.69506571,50.68503455,50.67506135,50.66489973,50.65474111,50.64582365,50.63984695,50.63764896,50.63991839,50.64557577,50.65220989,50.65651231,50.65618315
Haiti,HTI,,,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.222526544,3.25636285,3.287591751,3.317304231,3.348615497,3.382532641,3.451509426,3.51862912,3.581700616,3.637419239,3.684506536,3.760146238,3.824339533,3.877323439,3.918592404,3.947040157,4.009240254,4.054663801,4.08499674,4.102053065,4.106767593,4.130346145,4.14090694,4.139534822,4.128408748,4.110237953,4.108594821,4.105008443,4.096905355,4.080661027,4.05587335,4.065440551,4.061237575,4.049264083,4.037057109,4.028237835,4.0482147,4.067253695,4.085542186,4.102436129,4.11812369,4.157504066,4.191634825,4.221096742,4.247051285,4.270056577,4.327493891,4.382060314,4.429341798,4.46261428,4.479822846,4.517658846,4.540183183,4.558915647,4.588743834,4.637614438,4.729680986,4.835433458,4.949403848,5.063669546,5.174668284
Haiti,HTI,,,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,4.857963963,4.794802978,4.73153497,4.669770936,4.613474234,4.564653536,4.506939759,4.46032517,4.425819991,4.405467677,4.400260132,4.395972149,4.405212355,4.423127646,4.444454395,4.465802712,4.488406497,4.505128777,4.514127876,4.515317078,4.509199487,4.501668957,4.49784853,4.482998152,4.43796363,4.355932339,4.235148761,4.088127927,3.944852244,3.850164555,3.828367163,3.881968844,3.996217355,4.14103539,4.272806673,4.365854395,4.421457019,4.445662175,4.448882716,4.448773632,4.457383081,4.470094171,4.491249684,4.51757028,4.541663002,4.557074274,4.568101822,4.579973278,4.588713552,4.585998519,4.567116217,4.534594902,4.490402393,4.456177727,4.460259888,4.515879134,4.6164548,4.758311557,4.937962797,5.147225527,5.375294702
